season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1950,5,1950-10-15,Jug Girard,GNB,CHI,@,L 14-28,11,418,1
1950,5,1950-10-15,George Blanda,CHI,GNB,,W 28-14,2,30,1
1950,5,1950-10-15,Doak Walker,DET,RAM,,L 28-30,7,234,1
1950,9,1950-11-12,Spec Sanders,NYY,CHI,@,L 20-28,5,161,1
1950,9,1950-11-12,Horace Gillom,CLE,SFO,,W 34-14,7,226,1
1950,10,1950-11-19,Adrian Burk,BCL,NYG,,L 20-55,10,335,1
1950,10,1950-11-19,Bob Waterfield,RAM,NYY,@,W 43-35,4,147,1
1950,11,1950-11-26,Jug Girard,GNB,SFO,,W 25-21,4,155,1
1950,12,1950-12-03,Jim Hardy,CRD,CHI,,W 20-10,7,291,1
1950,13,1950-12-10,Frankie Albert,SFO,GNB,,W 30-14,4,118,1
1950,13,1950-12-10,Joe Muha,PHI,NYG,,L 7-9,1,0,1
1950,13,1950-12-10,Tom Landry,NYG,PHI,@,W 9-7,9,261,1
1951,1,1951-09-28,George Taliaferro,NYY,RAM,@,L 14-54,14,486,1
1951,2,1951-10-07,Frank Tripucka,CRD,CHI,,W 28-14,5,154,1
1951,4,1951-10-21,Chuck Ortmann,PIT,CLE,@,L 0-17,1,0,1
1951,5,1951-10-28,Bob Smith,DET,CHI,,L 23-28,2,53,1
1951,5,1951-10-28,Norm Van Brocklin,RAM,SFO,@,L 17-44,4,146,1
1951,10,1951-12-02,Fred Morrison,CHI,RAM,,L 17-42,5,162,1
1952,1,1952-09-28,Fred Morrison,CHI,GNB,@,W 24-14,5,161,1
1952,1,1952-09-29,Frank Tripucka,CRD,WAS,,L 7-23,6,144,1
1952,5,1952-10-26,Adrian Burk,PHI,NYG,@,W 14-10,10,358,1
1952,5,1952-10-26,Hank Lauricella,DTX,SFO,@,L 21-48,7,185,1
1952,6,1952-11-02,Adrian Burk,PHI,GNB,@,L 10-12,12,508,1
1952,9,1952-11-23,Frank Tripucka,DTX,GNB,@,L 14-42,1,0,1
1952,10,1952-11-30,Tom Landry,NYG,PIT,@,L 7-63,9,366,1
1952,12,1952-12-14,Horace Gillom,CLE,NYG,@,L 34-37,2,46,1
1953,1,1953-09-27,Butch Avinger,NYG,RAM,@,L 7-21,10,342,1
1953,4,1953-10-18,Jim Powers,SFO,CHI,@,W 35-28,8,279,1
1953,4,1953-10-18,Fred Morrison,CHI,SFO,,L 28-35,8,317,1
1953,6,1953-11-01,Eddie LeBaron,WAS,CLE,@,L 3-27,5,163,1
1953,7,1953-11-08,Fred Morrison,CHI,GNB,,T 21-21,7,316,1
1954,1,1954-09-26,Rex Berry,SFO,WAS,,W 41-7,1,0,1
1954,3,1954-10-10,Cotton Davidson,BAL,CHI,@,L 9-28,11,425,1
1955,1,1955-09-25,Bobby Luna,SFO,RAM,,L 14-23,5,179,1
1955,2,1955-10-02,Bobby Luna,SFO,CLE,,L 3-38,8,276,1
1955,6,1955-10-30,Dave Mann,CRD,CLE,,L 20-26,4,108,1
1955,6,1955-10-30,Horace Gillom,CLE,CRD,@,W 26-20,6,212,1
1955,6,1955-10-30,Ed Brown,CHI,RAM,@,W 31-20,5,177,1
1955,8,1955-11-13,Horace Gillom,CLE,PHI,@,L 17-33,5,172,1
1955,11,1955-12-04,Bobby Luna,SFO,GNB,,L 7-28,6,203,1
1955,11,1955-12-04,Horace Gillom,CLE,PIT,@,W 30-7,5,161,1
1955,12,1955-12-11,Tom Landry,NYG,DET,@,W 24-19,7,249,1
1956,5,1956-10-28,Adrian Burk,PHI,NYG,@,L 3-20,9,327,1
1956,7,1956-11-11,Dave Mann,CRD,NYG,@,L 10-23,3,56,1
1956,9,1956-11-25,Ed Brown,CHI,NYG,@,T 17-17,5,165,1
1956,14,1956-12-30,Ed Brown,CHI,NYG,@,L 7-47,6,255,1
1957,2,1957-10-05,Jerry Norton,PHI,NYG,,L 20-24,7,295,1
1957,4,1957-10-20,Ken Konz,CLE,PHI,@,L 7-17,5,196,1
1957,6,1957-11-03,Dick Deschaine,GNB,NYG,,L 17-31,5,159,1
